交易日,当日收益率,累计收益率,指数累计,控仓收益_5,控仓累计_5,控仓收益_20,仓位控制_20,控仓累计_20,控仓收益_30,控仓累计_30,控仓收益_60,控仓累计_60
2021-08-09,0.3,27.99,16.5,0.3,19.35,0.3,1,11.52,0.3,23.940000000000005,0.3,22.320000000000004
2021-08-10,0.86,28.85,16.52,0.86,20.21,0.86,1,12.379999999999999,0.86,24.800000000000004,0.86,23.180000000000003
2021-08-11,0.43,29.28,16.83,0.43,20.64,0.43,1,12.809999999999999,0.43,25.230000000000004,0.43,23.610000000000003
2021-08-12,-0.3,28.98,17.509999999999998,-0.3,20.34,-0.3,1,12.509999999999998,-0.3,24.930000000000003,-0.3,23.310000000000002
2021-08-13,0.65,29.63,17.919999999999998,0.65,20.99,0.65,1,13.159999999999998,0.65,25.580000000000002,0.65,23.96
2021-08-16,-0.81,28.82,18.139999999999997,-0.81,20.18,-0.81,1,12.349999999999998,-0.81,24.770000000000003,-0.81,23.150000000000002
2021-08-17,-2.1,26.72,18.08,-2.1,18.08,-2.1,1,10.249999999999998,-2.1,22.67,-2.1,21.05
2021-08-18,0.58,27.3,16.54,0.58,18.659999999999997,0.0,0,10.249999999999998,0.58,23.25,0.58,21.63
2021-08-19,-0.16,27.14,16.77,-0.16,18.499999999999996,-0.0,0,10.249999999999998,-0.16,23.09,-0.16,21.47
2021-08-20,0.04,27.18,16.86,0.04,18.539999999999996,0.0,0,10.249999999999998,0.04,23.13,0.04,21.509999999999998
2021-08-23,1.02,28.2,16.54,1.02,19.559999999999995,0.0,0,10.249999999999998,1.02,24.15,1.02,22.529999999999998
2021-08-24,0.0,28.2,18.07,0.0,19.559999999999995,0.0,1,10.249999999999998,0.0,24.15,0.0,22.529999999999998
2021-08-25,0.15,28.35,18.77,0.15,19.709999999999994,0.15,1,10.399999999999999,0.15,24.299999999999997,0.15,22.679999999999996
2021-08-26,0.0,28.35,19.52,0.0,19.709999999999994,0.0,1,10.399999999999999,0.0,24.299999999999997,0.0,22.679999999999996
2021-08-27,0.72,29.07,19.44,0.72,20.429999999999993,0.72,1,11.12,0.72,25.019999999999996,0.72,23.399999999999995
2021-08-30,0.9,29.97,19.64,0.9,21.32999999999999,0.9,1,12.02,0.9,25.919999999999995,0.9,24.299999999999994
2021-08-31,0.0,29.97,20.38,0.0,21.32999999999999,0.0,1,12.02,0.0,25.919999999999995,0.0,24.299999999999994
2021-09-01,0.17,30.14,20.29,0.17,21.499999999999993,0.17,1,12.19,0.17,26.089999999999996,0.17,24.469999999999995
2021-09-02,0.54,30.68,19.95,0.54,22.039999999999992,0.54,1,12.73,0.54,26.629999999999995,0.54,25.009999999999994
2021-09-03,0.0,30.68,21.43,0.0,22.039999999999992,0.0,1,12.73,0.0,26.629999999999995,0.0,25.009999999999994
2021-09-06,0.6,31.28,21.39,0.6,22.639999999999993,0.6,1,13.33,0.6,27.229999999999997,0.6,25.609999999999996
2021-09-07,0.0,31.28,22.1,0.0,22.639999999999993,0.0,1,13.33,0.0,27.229999999999997,0.0,25.609999999999996
2021-09-08,0.0,31.28,23.270000000000003,0.0,22.639999999999993,0.0,1,13.33,0.0,27.229999999999997,0.0,25.609999999999996
2021-09-09,0.6,31.88,23.690000000000005,0.6,23.239999999999995,0.6,1,13.93,0.6,27.83,0.6,26.209999999999997
2021-09-10,-1.27,30.61,23.590000000000003,-1.27,21.969999999999995,-1.27,1,12.66,-1.27,26.56,-1.27,24.939999999999998
2021-09-13,1.5,32.11,23.290000000000003,1.5,23.469999999999995,1.5,1,14.16,1.5,28.06,1.5,26.439999999999998
2021-09-14,0.18,32.29,23.710000000000004,0.18,23.649999999999995,0.18,1,14.34,0.18,28.24,0.18,26.619999999999997
2021-09-15,-0.15,32.14,23.100000000000005,-0.15,23.499999999999996,-0.0,0,14.34,-0.15,28.09,-0.15,26.47
2021-09-16,-0.24,31.9,23.160000000000004,-0.24,23.259999999999998,-0.0,0,14.34,-0.24,27.85,-0.24,26.23
2021-09-17,-0.24,31.66,21.180000000000003,-0.0,23.259999999999998,-0.0,0,14.34,-0.24,27.610000000000003,-0.24,25.990000000000002
2021-09-22,0.72,32.38,20.650000000000002,0.0,23.259999999999998,0.0,0,14.34,0.72,28.330000000000002,0.72,26.71
2021-09-23,1.29,33.67,21.070000000000004,0.0,23.259999999999998,0.0,0,14.34,1.29,29.62,1.29,28.0
2021-09-24,-0.42,33.25,21.820000000000004,-0.42,22.839999999999996,-0.42,1,13.92,-0.42,29.2,-0.42,27.58
2021-09-27,-0.33,32.92,21.100000000000005,-0.0,22.839999999999996,-0.0,0,13.92,-0.33,28.87,-0.33,27.25
2021-09-28,0.72,33.64,18.880000000000006,0.0,22.839999999999996,0.0,0,13.92,0.0,28.87,0.72,27.97
2021-09-29,0.41,34.05,19.220000000000006,0.0,22.839999999999996,0.0,0,13.92,0.0,28.87,0.41,28.38
2021-09-30,1.07,35.12,17.420000000000005,0.0,22.839999999999996,0.0,0,13.92,0.0,28.87,1.07,29.45
2021-10-08,0.0,35.12,18.990000000000006,0.0,22.839999999999996,0.0,0,13.92,0.0,28.87,0.0,29.45
2021-10-11,0.32,35.44,19.430000000000007,0.0,22.839999999999996,0.32,1,14.24,0.0,28.87,0.32,29.77
2021-10-12,-1.38,34.06,19.270000000000007,-0.0,22.839999999999996,-1.38,1,12.86,-0.0,28.87,-1.38,28.39
2021-10-13,0.19,34.25,17.60000000000001,0.0,22.839999999999996,0.0,0,12.86,0.0,28.87,0.0,28.39
2021-10-14,0.55,34.8,17.390000000000008,0.0,22.839999999999996,0.0,0,12.86,0.0,28.87,0.0,28.39
2021-10-15,1.5,36.3,18.03000000000001,0.0,22.839999999999996,0.0,0,12.86,0.0,28.87,0.0,28.39
2021-10-18,0.74,37.04,18.29000000000001,0.0,22.839999999999996,0.74,1,13.6,0.0,28.87,0.74,29.13
2021-10-19,0.3,37.34,19.04000000000001,0.0,22.839999999999996,0.3,1,13.9,0.0,28.87,0.3,29.43
2021-10-20,0.23,37.57,19.86000000000001,0.0,22.839999999999996,0.23,1,14.13,0.0,28.87,0.23,29.66
2021-10-21,0.0,37.57,20.13000000000001,0.0,22.839999999999996,0.0,1,14.13,0.0,28.87,0.0,29.66
2021-10-22,0.29,37.86,20.09000000000001,0.29,23.129999999999995,0.29,1,14.42,0.0,28.87,0.29,29.95
2021-10-25,1.5,39.36,19.62000000000001,1.5,24.629999999999995,0.0,0,14.42,0.0,28.87,1.5,31.45
